wl,n,wl,k
2.48E-01,1.49E+00,2.48E-01,1.96E+00
2.52E-01,1.52E+00,2.52E-01,1.96E+00
2.56E-01,1.54E+00,2.56E-01,1.96E+00
2.60E-01,1.56E+00,2.60E-01,1.96E+00
2.65E-01,1.58E+00,2.65E-01,1.96E+00
2.69E-01,1.61E+00,2.69E-01,1.96E+00
2.73E-01,1.63E+00,2.73E-01,1.95E+00
2.78E-01,1.65E+00,2.78E-01,1.94E+00
2.82E-01,1.67E+00,2.82E-01,1.93E+00
2.87E-01,1.69E+00,2.87E-01,1.92E+00
2.92E-01,1.71E+00,2.92E-01,1.90E+00
2.96E-01,1.72E+00,2.96E-01,1.89E+00
3.01E-01,1.73E+00,3.01E-01,1.87E+00
3.06E-01,1.74E+00,3.06E-01,1.85E+00
3.11E-01,1.74E+00,3.11E-01,1.83E+00
3.16E-01,1.74E+00,3.16E-01,1.81E+00
3.21E-01,1.73E+00,3.21E-01,1.79E+00
3.26E-01,1.72E+00,3.26E-01,1.78E+00
3.32E-01,1.71E+00,3.32E-01,1.76E+00
3.37E-01,1.69E+00,3.37E-01,1.75E+00
3.43E-01,1.67E+00,3.43E-01,1.75E+00
3.48E-01,1.65E+00,3.48E-01,1.75E+00
3.54E-01,1.62E+00,3.54E-01,1.75E+00
3.60E-01,1.60E+00,3.60E-01,1.76E+00
3.66E-01,1.58E+00,3.66E-01,1.77E+00
3.72E-01,1.56E+00,3.72E-01,1.79E+00
3.78E-01,1.55E+00,3.78E-01,1.80E+00
3.84E-01,1.54E+00,3.84E-01,1.82E+00
3.90E-01,1.54E+00,3.90E-01,1.83E+00
3.96E-01,1.53E+00,3.96E-01,1.84E+00
4.03E-01,1.53E+00,4.03E-01,1.84E+00
4.09E-01,1.52E+00,4.09E-01,1.84E+00
4.16E-01,1.51E+00,4.16E-01,1.84E+00
4.23E-01,1.50E+00,4.23E-01,1.83E+00
4.30E-01,1.48E+00,4.30E-01,1.81E+00
4.37E-01,1.45E+00,4.37E-01,1.80E+00
4.44E-01,1.41E+00,4.44E-01,1.78E+00
4.51E-01,1.37E+00,4.51E-01,1.77E+00
4.59E-01,1.31E+00,4.59E-01,1.76E+00
4.66E-01,1.24E+00,4.66E-01,1.75E+00
4.74E-01,1.17E+00,4.74E-01,1.75E+00
4.81E-01,1.08E+00,4.81E-01,1.77E+00
4.89E-01,9.92E-01,4.89E-01,1.79E+00
4.97E-01,8.98E-01,4.97E-01,1.83E+00
5.05E-01,8.05E-01,5.05E-01,1.89E+00
5.13E-01,7.16E-01,5.13E-01,1.95E+00
5.22E-01,6.33E-01,5.22E-01,2.03E+00
5.30E-01,5.57E-01,5.30E-01,2.12E+00
5.39E-01,4.91E-01,5.39E-01,2.22E+00
5.48E-01,4.33E-01,5.48E-01,2.32E+00
5.57E-01,3.84E-01,5.57E-01,2.42E+00
5.66E-01,3.42E-01,5.66E-01,2.53E+00
5.75E-01,3.08E-01,5.75E-01,2.64E+00
5.84E-01,2.78E-01,5.84E-01,2.74E+00
5.94E-01,2.54E-01,5.94E-01,2.85E+00
6.04E-01,2.35E-01,6.04E-01,2.95E+00
6.13E-01,2.18E-01,6.13E-01,3.06E+00
6.23E-01,2.05E-01,6.23E-01,3.16E+00
6.34E-01,1.95E-01,6.34E-01,3.26E+00
6.44E-01,1.87E-01,6.44E-01,3.37E+00
6.54E-01,1.80E-01,6.54E-01,3.47E+00
6.65E-01,1.76E-01,6.65E-01,3.57E+00
6.76E-01,1.72E-01,6.76E-01,3.67E+00
6.87E-01,1.70E-01,6.87E-01,3.77E+00
6.98E-01,1.69E-01,6.98E-01,3.87E+00
7.10E-01,1.69E-01,7.10E-01,3.97E+00
7.21E-01,1.70E-01,7.21E-01,4.06E+00
7.33E-01,1.71E-01,7.33E-01,4.16E+00
7.45E-01,1.73E-01,7.45E-01,4.26E+00
7.57E-01,1.76E-01,7.57E-01,4.36E+00
7.69E-01,1.79E-01,7.69E-01,4.46E+00
7.82E-01,1.83E-01,7.82E-01,4.56E+00
7.95E-01,1.87E-01,7.95E-01,4.66E+00
8.08E-01,1.91E-01,8.08E-01,4.76E+00
8.21E-01,1.96E-01,8.21E-01,4.87E+00
8.34E-01,2.02E-01,8.34E-01,4.97E+00
8.48E-01,2.07E-01,8.48E-01,5.07E+00
8.62E-01,2.13E-01,8.62E-01,5.18E+00
8.76E-01,2.19E-01,8.76E-01,5.28E+00
8.90E-01,2.26E-01,8.90E-01,5.39E+00
9.04E-01,2.33E-01,9.04E-01,5.49E+00
9.19E-01,2.40E-01,9.19E-01,5.60E+00
9.34E-01,2.47E-01,9.34E-01,5.71E+00
9.49E-01,2.55E-01,9.49E-01,5.82E+00
9.65E-01,2.63E-01,9.65E-01,5.93E+00
9.81E-01,2.71E-01,9.81E-01,6.04E+00
9.97E-01,2.79E-01,9.97E-01,6.16E+00
1.01E+00,2.88E-01,1.01E+00,6.27E+00
1.03E+00,2.96E-01,1.03E+00,6.39E+00
1.05E+00,3.05E-01,1.05E+00,6.50E+00
1.06E+00,3.14E-01,1.06E+00,6.62E+00
1.08E+00,3.24E-01,1.08E+00,6.74E+00
1.10E+00,3.33E-01,1.10E+00,6.86E+00
1.12E+00,3.43E-01,1.12E+00,6.99E+00
1.13E+00,3.53E-01,1.13E+00,7.11E+00
1.15E+00,3.63E-01,1.15E+00,7.24E+00
1.17E+00,3.73E-01,1.17E+00,7.36E+00
1.19E+00,3.84E-01,1.19E+00,7.49E+00
1.21E+00,3.94E-01,1.21E+00,7.62E+00
1.23E+00,4.05E-01,1.23E+00,7.76E+00
1.25E+00,4.16E-01,1.25E+00,7.89E+00
1.27E+00,4.28E-01,1.27E+00,8.03E+00
1.29E+00,4.39E-01,1.29E+00,8.16E+00
1.31E+00,4.51E-01,1.31E+00,8.30E+00
1.33E+00,4.63E-01,1.33E+00,8.45E+00
1.36E+00,4.75E-01,1.36E+00,8.59E+00
1.38E+00,4.87E-01,1.38E+00,8.74E+00
1.40E+00,4.99E-01,1.40E+00,8.88E+00
1.42E+00,5.12E-01,1.42E+00,9.03E+00
1.45E+00,5.25E-01,1.45E+00,9.18E+00
1.47E+00,5.38E-01,1.47E+00,9.34E+00
1.49E+00,5.51E-01,1.49E+00,9.50E+00
1.52E+00,5.65E-01,1.52E+00,9.65E+00
1.54E+00,5.79E-01,1.54E+00,9.81E+00
1.57E+00,5.93E-01,1.57E+00,9.98E+00
1.59E+00,6.07E-01,1.59E+00,1.01E+01
1.62E+00,6.22E-01,1.62E+00,1.03E+01
1.65E+00,6.37E-01,1.65E+00,1.05E+01
1.67E+00,6.52E-01,1.67E+00,1.07E+01
1.70E+00,6.68E-01,1.70E+00,1.08E+01
1.73E+00,6.84E-01,1.73E+00,1.10E+01
1.76E+00,7.00E-01,1.76E+00,1.12E+01
1.78E+00,7.16E-01,1.78E+00,1.14E+01
1.81E+00,7.33E-01,1.81E+00,1.16E+01
1.84E+00,7.51E-01,1.84E+00,1.18E+01
1.87E+00,7.68E-01,1.87E+00,1.19E+01
1.90E+00,7.86E-01,1.90E+00,1.21E+01
1.93E+00,8.05E-01,1.93E+00,1.23E+01
1.97E+00,8.24E-01,1.97E+00,1.25E+01
2.00E+00,8.43E-01,2.00E+00,1.27E+01
2.03E+00,8.63E-01,2.03E+00,1.30E+01
2.06E+00,8.83E-01,2.06E+00,1.32E+01
2.10E+00,9.04E-01,2.10E+00,1.34E+01
2.13E+00,9.25E-01,2.13E+00,1.36E+01
2.17E+00,9.47E-01,2.17E+00,1.38E+01
2.20E+00,9.70E-01,2.20E+00,1.40E+01
2.24E+00,9.93E-01,2.24E+00,1.43E+01
2.27E+00,1.02E+00,2.27E+00,1.45E+01
2.31E+00,1.04E+00,2.31E+00,1.47E+01
2.35E+00,1.07E+00,2.35E+00,1.50E+01
2.39E+00,1.09E+00,2.39E+00,1.52E+01
2.43E+00,1.12E+00,2.43E+00,1.55E+01
2.47E+00,1.14E+00,2.47E+00,1.57E+01
2.51E+00,1.17E+00,2.51E+00,1.60E+01
2.55E+00,1.20E+00,2.55E+00,1.62E+01
2.59E+00,1.23E+00,2.59E+00,1.65E+01
2.63E+00,1.26E+00,2.63E+00,1.68E+01
2.67E+00,1.29E+00,2.67E+00,1.70E+01
2.72E+00,1.32E+00,2.72E+00,1.73E+01
2.76E+00,1.35E+00,2.76E+00,1.76E+01
2.81E+00,1.39E+00,2.81E+00,1.79E+01
2.85E+00,1.42E+00,2.85E+00,1.82E+01
2.90E+00,1.46E+00,2.90E+00,1.84E+01
2.95E+00,1.50E+00,2.95E+00,1.87E+01
2.99E+00,1.53E+00,2.99E+00,1.90E+01
3.04E+00,1.57E+00,3.04E+00,1.94E+01
3.09E+00,1.61E+00,3.09E+00,1.97E+01
3.14E+00,1.65E+00,3.14E+00,2.00E+01
3.19E+00,1.70E+00,3.19E+00,2.03E+01
3.25E+00,1.74E+00,3.25E+00,2.06E+01
3.30E+00,1.78E+00,3.30E+00,2.10E+01
3.35E+00,1.83E+00,3.35E+00,2.13E+01
3.41E+00,1.88E+00,3.41E+00,2.16E+01
3.46E+00,1.93E+00,3.46E+00,2.20E+01
3.52E+00,1.98E+00,3.52E+00,2.23E+01
3.58E+00,2.03E+00,3.58E+00,2.27E+01
3.64E+00,2.08E+00,3.64E+00,2.31E+01
3.69E+00,2.14E+00,3.69E+00,2.34E+01
3.75E+00,2.20E+00,3.75E+00,2.38E+01
3.82E+00,2.26E+00,3.82E+00,2.42E+01
3.88E+00,2.32E+00,3.88E+00,2.46E+01
3.94E+00,2.38E+00,3.94E+00,2.50E+01
4.01E+00,2.44E+00,4.01E+00,2.54E+01
4.07E+00,2.51E+00,4.07E+00,2.58E+01
4.14E+00,2.58E+00,4.14E+00,2.62E+01
4.20E+00,2.65E+00,4.20E+00,2.66E+01
